# time(ps) Nwater Force (pN) Pressure Dif (atm) 
10 154 1070.1922 2305.987603802008
20 164 1139.6852 2455.7270585943456
30 159 1104.9387 2380.857331198177
40 160 1111.888 2395.8312766774106
50 159 1104.9387 2380.857331198177
60 159 1104.9387 2380.857331198177
70 157 1091.0401 2350.909440239709
80 157 1091.0401 2350.909440239709
90 158 1097.9894 2365.8833857189434
100 157 1091.0401 2350.909440239709
110 159 1104.9387 2380.857331198177
120 161 1118.8373 2410.8052221566445
130 158 1097.9894 2365.8833857189434
140 160 1111.888 2395.8312766774106
150 161 1118.8373 2410.8052221566445
160 163 1132.7359 2440.7531131151122
170 154 1070.1922 2305.987603802008
180 155 1077.1415 2320.961549281242
190 157 1091.0401 2350.909440239709
200 161 1118.8373 2410.8052221566445
210 161 1118.8373 2410.8052221566445
220 157 1091.0401 2350.909440239709
230 158 1097.9894 2365.8833857189434
240 157 1091.0401 2350.909440239709
250 151 1049.3443 2261.0657673643063
260 160 1111.888 2395.8312766774106
270 149 1035.4457 2231.1178764058386
280 158 1097.9894 2365.8833857189434
290 158 1097.9894 2365.8833857189434
300 155 1077.1415 2320.961549281242
310 162 1125.7866 2425.7791676358784
320 154 1070.1922 2305.987603802008
330 155 1077.1415 2320.961549281242
340 156 1084.0908 2335.935494760475
350 161 1118.8373 2410.8052221566445
360 154 1070.1922 2305.987603802008
370 154 1070.1922 2305.987603802008
380 160 1111.888 2395.8312766774106
390 160 1111.888 2395.8312766774106
400 156 1084.0908 2335.935494760475
410 162 1125.7866 2425.7791676358784
420 157 1091.0401 2350.909440239709
430 162 1125.7866 2425.7791676358784
440 161 1118.8373 2410.8052221566445
450 155 1077.1415 2320.961549281242
460 160 1111.888 2395.8312766774106
470 159 1104.9387 2380.857331198177
480 160 1111.888 2395.8312766774106
490 152 1056.2936 2276.03971284354
500 160 1111.888 2395.8312766774106
510 159 1104.9387 2380.857331198177
520 157 1091.0401 2350.909440239709
530 156 1084.0908 2335.935494760475
540 154 1070.1922 2305.987603802008
550 158 1097.9894 2365.8833857189434
560 156 1084.0908 2335.935494760475
570 158 1097.9894 2365.8833857189434
580 157 1091.0401 2350.909440239709
590 152 1056.2936 2276.03971284354
600 154 1070.1922 2305.987603802008
